full_name,stars,forks,language,created_at,description,url
pyushkevich/itksnap,437,122,C++,2014-04-23T06:46:21Z,ITK-SNAP medical image segmentation tool,https://github.com/pyushkevich/itksnap
frankkramer-lab/MIScnn,424,118,Python,2019-05-09T14:53:48Z,A framework for Medical Image Segmentation with Convolutional Neural Networks and Deep Learning,https://github.com/frankkramer-lab/MIScnn
databricks-industry-solutions/pixels,417,128,JavaScript,2022-11-10T21:12:59Z,"Facilitates simple large scale processing of HLS Medical images, documents, zip files. OHIF Viewer, 2 segmentation models and interactive learning.",https://github.com/databricks-industry-solutions/pixels
xamyzhao/brainstorm,404,89,Python,2019-02-01T18:42:08Z,"Implementation of ""Data augmentation using learned transforms for one-shot medical image segmentation""",https://github.com/xamyzhao/brainstorm
arnab39/FewShot_GAN-Unet3D,399,80,Python,2018-07-26T16:22:09Z,Tensorflow implementation of our paper: Few-shot 3D Multi-modal Medical Image Segmentation using Generative Adversarial Learning,https://github.com/arnab39/FewShot_GAN-Unet3D
HUANGLIZI/LViT,389,40,Python,2022-03-10T08:49:09Z,"[IEEE Transactions on Medical Imaging/TMI 2023] This repo is the official implementation of ""LViT: Language meets Vision Transformer in Medical Image Segmentation""",https://github.com/HUANGLIZI/LViT
BAAI-DCAI/SegVol,383,38,Python,2023-11-10T08:25:37Z,"The official code for ""SegVol: Universal and Interactive Volumetric Medical Image Segmentation"".",https://github.com/BAAI-DCAI/SegVol
uni-medical/STU-Net,370,38,Python,2023-04-12T13:17:40Z,"The largest pre-trained medical image segmentation model (1.4B parameters) based on the largest public dataset (>100k annotations), up until April 2023.",https://github.com/uni-medical/STU-Net
yifangao112/Camyla,351,41,Python,2026-04-12T19:53:13Z,Scaling Autonomous Research in Medical Image Segmentation,https://github.com/yifangao112/Camyla
ayush1997/Xvision,303,124,Python,2017-01-02T11:56:15Z,Chest Xray image analysis using Deep learning !,https://github.com/ayush1997/Xvision
snapfinger/pancreas-seg,62,19,Python,2018-04-05T01:50:08Z,Pancreas Segmentation in Abdominal CT Scans with Convolutional Neural Network,https://github.com/snapfinger/pancreas-seg
ZauggGroup/DeePiCt,41,12,Python,2022-01-07T01:00:59Z,"Pipeline for the automatic detection and segmentation of particles and cellular structures in 3D Cryo-ET data, based on deep learning (convolutional neural networks).",https://github.com/ZauggGroup/DeePiCt
NUHS-NUS-SpineAI/SpineAI-Detect-Classify-LumbarMRI-Stenosis,36,10,Python,2021-01-25T07:19:53Z,"Code for 2020 November Radiology Submission ""Deep Learning Model for Automated Detection and Classification of Central Canal, Lateral Recess, and Neural Foraminal Stenosis at Lumbar Spine MRI""",https://github.com/NUHS-NUS-SpineAI/SpineAI-Detect-Classify-LumbarMRI-Stenosis
